sample_id,label,pred,confidence,E_drift,drift_type,severity,struct_drift,w_1,w_2,w_3,w_4,view_mask_1,view_mask_2,view_mask_3,view_mask_4
0,1,1,0.999998927116394,7.0685960054106545e-06,normal,0.0,0.0,0.034393664449453354,0.8588343262672424,0.10677201300859451,0.0,1,1,1,0
1,1,1,0.9997813105583191,0.0008413258474320173,normal,0.0,0.0,0.47531989216804504,0.2437509298324585,0.28092923760414124,0.0,1,1,1,0
2,1,1,0.995933473110199,0.010348271578550339,normal,0.0,0.0,0.06419814378023148,0.2845141887664795,0.6512876749038696,0.0,1,1,1,0
3,1,1,0.9999994039535522,4.363018433650723e-06,normal,0.0,0.0,0.032832253724336624,0.010880658403038979,0.956287145614624,0.0,1,1,1,0
4,1,1,0.9999896287918091,5.372178929974325e-05,normal,0.0,0.0,0.9804311394691467,0.005172455217689276,0.014396433718502522,0.0,1,1,1,0
5,1,1,0.9999948740005493,2.697783929761499e-05,normal,0.0,0.0,0.10911116003990173,0.3571496903896332,0.5337391495704651,0.0,1,1,1,0
6,1,1,0.9988081455230713,0.004161348100751638,normal,0.0,0.0,0.20861774682998657,0.06990963965654373,0.7214726209640503,0.0,1,1,1,0
7,1,1,0.9999988079071045,7.496209946111776e-06,normal,0.0,0.0,0.1647723764181137,0.5834171772003174,0.2518104016780853,0.0,1,1,1,0
8,1,1,0.9999072551727295,0.00035241388832218945,normal,0.0,0.0,0.9931855797767639,0.0035655361134558916,0.0032488799188286066,0.0,1,1,1,0
9,1,1,0.999977707862854,0.00010511072468943894,normal,0.0,0.0,0.2157505452632904,0.16260915994644165,0.6216403245925903,0.0,1,1,1,0
10,1,1,0.9999982118606567,1.0875983207370155e-05,normal,0.0,0.0,0.03366147354245186,0.3267971873283386,0.6395413875579834,0.0,1,1,1,0
11,1,1,0.9999985694885254,8.95857283467194e-06,normal,0.0,0.0,0.16616390645503998,0.6026718616485596,0.23116426169872284,0.0,1,1,1,0
12,1,1,0.9999995231628418,2.6380719191365642e-06,normal,0.0,0.0,0.7039507031440735,9.99999993922529e-09,0.2960493266582489,0.0,1,1,1,0
13,1,1,0.9999849796295166,7.561712845927104e-05,normal,0.0,0.0,0.44566699862480164,0.2747264802455902,0.27960658073425293,0.0,1,1,1,0
14,1,1,0.9999568462371826,0.00019187043653801084,normal,0.0,0.0,0.07774616032838821,0.8341705799102783,0.08808325976133347,0.0,1,1,1,0
15,1,1,0.9999991655349731,4.864300080953399e-06,normal,0.0,0.0,0.2795639634132385,0.3626237213611603,0.35781237483024597,0.0,1,1,1,0
16,1,1,0.9998742341995239,0.0005199999432079494,normal,0.0,0.0,0.4264651834964752,0.3443782329559326,0.2291565239429474,0.0,1,1,1,0
17,1,1,0.9999985694885254,8.700111720827408e-06,normal,0.0,0.0,0.0740872323513031,0.19522437453269958,0.7306883335113525,0.0,1,1,1,0
18,1,1,0.9999983310699463,1.0014524377766065e-05,normal,0.0,0.0,0.25539278984069824,0.40001559257507324,0.3445916473865509,0.0,1,1,1,0
19,1,1,0.9999995231628418,2.4835778731358005e-06,normal,0.0,0.0,1.0,9.99999993922529e-09,9.99999993922529e-09,0.0,1,1,1,0
20,1,1,0.9999974966049194,1.5049736248329282e-05,normal,0.0,0.0,0.14226274192333221,0.5508954524993896,0.30684179067611694,0.0,1,1,1,0
