sample_id,label,pred,confidence,E_drift,drift_type,severity,struct_drift,w_1,w_2,w_3,w_4
0,0,0,0.999995231628418,2.05517189897364e-05,normal,0.0,0.0,0.5601472854614258,0.13485881686210632,0.2577750086784363,0.047218915075063705
1,0,0,0.9999966621398926,1.3897917597205378e-05,normal,0.0,0.0,9.99999993922529e-09,0.5249578952789307,0.09632721543312073,0.3787148892879486
2,0,0,0.9999837875366211,5.8935485867550597e-05,normal,0.0,0.0,0.19891206920146942,0.3670075237751007,0.22603927552700043,0.20804113149642944
3,0,0,0.9999961853027344,1.690135286480654e-05,normal,0.0,0.0,0.2663012742996216,0.2610095739364624,0.21196620166301727,0.2607229948043823
4,0,0,0.9999911785125732,3.492909672786482e-05,normal,0.0,0.0,0.07866712659597397,0.2730303704738617,0.33033257722854614,0.3179699182510376
5,0,0,0.9999964237213135,1.5092726243892685e-05,normal,0.0,0.0,0.09449591487646103,0.16981856524944305,0.1707957684993744,0.5648897886276245
6,0,0,0.9999980926513672,8.626188900962006e-06,normal,0.0,0.0,0.16700272262096405,9.99999993922529e-09,0.4004429280757904,0.43255430459976196
7,0,0,0.999997615814209,1.114526003220817e-05,normal,0.0,0.0,0.08274177461862564,0.2654181718826294,0.5231590270996094,0.1286810338497162
8,0,0,0.999995231628418,2.0308030798332766e-05,normal,0.0,0.0,0.1932826191186905,0.6799343824386597,0.0498233363032341,0.07695959508419037
9,0,0,0.9999969005584717,1.3552036762121134e-05,normal,0.0,0.0,0.3225240111351013,0.21107199788093567,0.1882808357477188,0.27812322974205017
10,0,0,0.9999924898147583,3.030965854122769e-05,normal,0.0,0.0,0.022156888619065285,0.057363223284482956,0.14999207854270935,0.7704877853393555
11,0,0,0.9999964237213135,1.5737161447759718e-05,normal,0.0,0.0,0.13841108977794647,0.2686178386211395,0.3052220046520233,0.2877490520477295
12,0,0,0.9999970197677612,1.2723743566311896e-05,normal,0.0,0.0,0.03730703145265579,0.04615334793925285,0.5780738592147827,0.33846578001976013
13,0,0,0.9999970197677612,1.2947678442287724e-05,normal,0.0,0.0,0.16553767025470734,0.1633681356906891,0.29474401473999023,0.37635013461112976
14,0,0,0.9999960660934448,1.681984940660186e-05,normal,0.0,0.0,0.22692342102527618,0.29101839661598206,0.18500758707523346,0.2970506250858307
15,0,0,0.9999979734420776,9.198144653055351e-06,normal,0.0,0.0,0.13204190135002136,0.034800510853528976,0.5587142109870911,0.2744434177875519
16,0,0,0.999996542930603,1.5105608326848596e-05,normal,0.0,0.0,0.052351247519254684,0.18208850920200348,0.48084163665771484,0.2847185730934143
17,0,0,0.9999964237213135,1.5127420738281216e-05,normal,0.0,0.0,0.1350162774324417,0.3493669033050537,0.39543992280960083,0.12017683684825897
18,0,0,0.9999151229858398,0.0002703961217775941,normal,0.0,0.0,0.20432515442371368,0.7241217494010925,0.046658437699079514,0.02489466220140457
19,0,0,0.9999960660934448,1.7051024769898504e-05,normal,0.0,0.0,0.07067348062992096,0.34989500045776367,0.5306729674339294,0.04875859618186951
20,0,0,0.9999977350234985,9.874201168713626e-06,normal,0.0,0.0,0.30354899168014526,0.10115420073270798,0.23249927163124084,0.3627975285053253
21,0,0,0.9999974966049194,1.0956910955428611e-05,normal,0.0,0.0,0.07987160235643387,0.0682433620095253,0.5005629658699036,0.3513220548629761
22,0,0,0.9999967813491821,1.4136713616608176e-05,normal,0.0,0.0,0.042098697274923325,0.1339723765850067,0.029752513393759727,0.7941765189170837
23,0,0,0.9999973773956299,1.1234001249249559e-05,normal,0.0,0.0,0.39732593297958374,0.2905164957046509,0.13188780844211578,0.18026982247829437
24,0,0,0.9999967813491821,1.400993005518103e-05,normal,0.0,0.0,0.26788437366485596,0.16276255249977112,0.17277134954929352,0.3965817391872406
25,0,0,0.9999978542327881,9.629061423765961e-06,normal,0.0,0.0,9.99999993922529e-09,0.22612760961055756,0.5122132301330566,0.26165926456451416
26,0,0,0.9999982118606567,8.446836545772385e-06,normal,0.0,0.0,0.3815212547779083,0.13490307331085205,0.378343790769577,0.10523181408643723
27,0,0,0.9999983310699463,7.667707905056886e-06,normal,0.0,0.0,0.37106674909591675,0.1710825264453888,0.3177407383918762,0.14011000096797943
28,0,0,0.9999946355819702,2.1683155864593573e-05,normal,0.0,0.0,0.427550345659256,0.4157721996307373,0.07488615810871124,0.08179133385419846
29,0,0,0.9999966621398926,1.448308103135787e-05,normal,0.0,0.0,0.22441884875297546,0.34305012226104736,0.1515563577413559,0.2809746563434601
30,0,0,0.9998816251754761,0.0003689009172376245,normal,0.0,0.0,0.10838605463504791,0.01955569162964821,0.47392329573631287,0.39813485741615295
31,0,0,0.9999809265136719,6.836259854026139e-05,normal,0.0,0.0,0.13321922719478607,0.7089584469795227,0.1349497139453888,0.022872596979141235
32,0,0,0.9999972581863403,1.183335371024441e-05,normal,0.0,0.0,0.41164666414260864,0.16571760177612305,0.02012729085981846,0.40250834822654724
33,0,0,0.9999982118606567,8.268818419310264e-06,normal,0.0,0.0,0.13046906888484955,0.3205414414405823,0.30348530411720276,0.24550418555736542
34,0,0,0.9999951124191284,2.0911607862217352e-05,normal,0.0,0.0,0.16289092600345612,0.4198946952819824,0.15567122399806976,0.2615431249141693
35,0,0,0.9999606609344482,0.00012791196058969945,normal,0.0,0.0,0.7915740013122559,0.02914809249341488,0.017140643671154976,0.16213728487491608
36,0,0,0.9999951124191284,1.988446274481248e-05,normal,0.0,0.0,0.15595486760139465,0.29424068331718445,0.24691343307495117,0.30289098620414734
37,0,0,0.9999966621398926,1.4664093214378227e-05,normal,0.0,0.0,0.12809018790721893,0.3651636838912964,0.21567700803279877,0.2910691499710083
38,0,0,0.9999948740005493,2.0965600924682803e-05,normal,0.0,0.0,0.017071044072508812,0.11366135627031326,0.22559620440006256,0.6436713337898254
39,0,0,0.9999980926513672,8.60139789438108e-06,normal,0.0,0.0,0.13030526041984558,0.4764305353164673,0.22857573628425598,0.16468849778175354
40,0,0,0.999997615814209,1.0374706107540987e-05,normal,0.0,0.0,0.2569795250892639,0.16629008948802948,0.15432772040367126,0.4224027395248413
41,0,0,0.9999979734420776,8.60398358781822e-06,normal,0.0,0.0,9.99999993922529e-09,9.99999993922529e-09,0.509666919708252,0.49033302068710327
42,0,0,0.9999889135360718,4.118967990507372e-05,normal,0.0,0.0,0.22622519731521606,0.07373833656311035,0.3644370436668396,0.3355993926525116
43,0,0,0.9999945163726807,2.271008816023823e-05,normal,0.0,0.0,0.11334492266178131,0.23262333869934082,0.5322727560997009,0.12175892293453217
44,0,0,0.9999954700469971,1.9170311134075746e-05,normal,0.0,0.0,0.031822945922613144,0.4836249351501465,0.3112174868583679,0.17333459854125977
45,0,0,0.9999949932098389,2.079829209833406e-05,normal,0.0,0.0,0.326662540435791,0.23145824670791626,0.18323734402656555,0.2586418390274048
46,0,0,0.9999960660934448,1.7199288777192123e-05,normal,0.0,0.0,0.5518385767936707,0.17139483988285065,0.11846340447664261,0.15830320119857788
47,0,0,0.9999977350234985,1.0090197065437678e-05,normal,0.0,0.0,0.019029462710022926,0.922031819820404,0.04953110218048096,0.009407599456608295
48,0,0,0.9999929666519165,2.7447267711977474e-05,normal,0.0,0.0,0.4277138113975525,0.05190425366163254,0.5036070346832275,0.01677488349378109
49,0,0,0.9999951124191284,2.0854877220699564e-05,normal,0.0,0.0,0.0400041788816452,0.1698513776063919,0.5696441531181335,0.22050023078918457
50,0,0,0.9999974966049194,1.0511181244510226e-05,normal,0.0,0.0,0.027437681332230568,0.8042709827423096,0.13850711286067963,0.02978425659239292
51,0,0,0.9999972581863403,1.1857568097184412e-05,normal,0.0,0.0,0.08089865744113922,0.22472795844078064,0.5767916440963745,0.11758173257112503
52,0,0,0.9999974966049194,1.0987270798068494e-05,normal,0.0,0.0,0.6189349889755249,0.04445328935980797,0.30010488629341125,0.036506835371255875
