t,sample_id,label,u,c_comm,proxy_acc,cost,G,Y_bw,Q_net,active_views,active_token_ratio_sum,network_state,bandwidth_mbps,effective_bandwidth_mbps,B_t,is_disconnected,comm_delay_ms,e2e_delay_ms,deadline_met,transmission_success,business_available,real_pred,real_conf,real_correct,traj_pred,traj_correct,w_1,w_2,w_3,w_4,v_1,v_2,v_3,v_4,k_1,k_2,k_3,k_4
0,0,0,1,6.2,0.999988317489624,0.36364987634286994,15.717711201902809,0.0,0.0,3,0.4351115869021086,JITTER,97.39560485559633,96.5407082336417,2.4135177058410426,0,0.0,80.0,1,1,1,0,0.999988317489624,1,0,1,0.5601472854614258,0.13485881686210632,0.2577750086784363,0.047218915075063705,1,1,1,0,0.23511158690210862,0.1,0.1,0.0
1,1,0,0,0.0,0.9999943971633911,0.36778618661716794,16.087541446643105,3.2,0.0,3,0.43757916319383405,JITTER,105.85979199113825,104.38332730118836,2.6095831825297093,0,0.0,80.0,1,1,1,0,0.9999943971633911,1,0,1,9.99999993922529e-09,0.5249578952789307,0.09632721543312073,0.3787148892879486,0,1,1,1,0.0,0.21228828717166962,0.1,0.12529087602216446
2,2,0,0,0.0,0.9806204438209534,0.25324907110456074,12.052930774126782,0.20000000000000018,0.0,3,0.36310552486990033,JITTER,29.417734788764953,28.843722796876126,0.7210930699219031,0,0.0,80.0,1,1,1,0,0.9806204438209534,1,0,1,0.19891206920146942,0.3670075237751007,0.22603927552700043,0.20804113149642944,0,1,1,1,0.0,0.16310552486990035,0.1,0.1
3,3,0,1,6.2,0.9999921321868896,0.3073280000000001,11.716384230920776,0.0,0.0,4,0.4,JITTER,96.1139701990353,94.60293497479701,2.3650733743699255,0,0.0,80.0,1,1,1,0,0.9999921321868896,1,0,1,0.2663012742996216,0.2610095739364624,0.21196620166301727,0.2607229948043823,1,1,1,1,0.1,0.1,0.1,0.1
4,4,0,0,0.0,0.9999827146530151,0.2542660410348189,13.608920497520494,3.2,0.3871048066205802,3,0.3638338541491722,JITTER,32.81136326755458,32.515807735176786,0.8128951933794197,0,0.0,80.0,1,1,1,0,0.9999827146530151,1,0,1,0.07866712659597397,0.2730303704738617,0.33033257722854614,0.3179699182510376,0,1,1,1,0.0,0.1,0.13633941488008786,0.12749443926908433
5,5,0,0,0.0,0.9999678134918213,0.36632835544526987,15.111374887776211,0.20000000000000018,0.0,3,0.4367110637830982,JITTER,57.07980242325812,56.0218111741327,1.4005452793533175,0,0.0,80.0,1,1,1,0,0.9999678134918213,1,0,1,0.09449591487646103,0.16981856524944305,0.1707957684993744,0.5648897886276245,0,1,1,1,0.0,0.1,0.1,0.23671106378309822
6,6,0,1,6.2,0.9999892711639404,0.3361451695164262,15.469909137431411,0.0,0.0,3,0.41833323001535794,JITTER,84.38651200806646,82.99791235290536,2.074947808822634,0,0.0,80.0,1,1,1,0,0.9999892711639404,1,0,1,0.16700272262096405,9.99999993922529e-09,0.4004429280757904,0.43255430459976196,1,0,1,1,0.1,0.0,0.14917594945621704,0.1691572805591409
7,7,0,0,0.0,0.9999912977218628,0.3427143188875376,14.857473532986031,3.2,0.0,3,0.4224011106712462,JITTER,64.3414198827331,64.0490026424937,1.6012250660623426,0,0.0,80.0,1,1,1,0,0.9999912977218628,1,0,1,0.08274177461862564,0.2654181718826294,0.5231590270996094,0.1286810338497162,0,1,1,1,0.0,0.1,0.2224011106712462,0.1
8,8,0,0,0.0,0.999996542930603,0.43094887013032407,17.052879849289468,0.20000000000000018,0.0,3,0.4736655503487833,JITTER,75.45847870158349,75.36216764037287,1.884054191009322,0,0.0,80.0,1,1,1,0,0.999996542930603,1,0,1,0.1932826191186905,0.6799343824386597,0.0498233363032341,0.07695959508419037,1,1,0,1,0.1,0.27366555034878337,0.0,0.1
9,9,0,1,6.2,0.999996542930603,0.2333714128693383,11.99477145924595,0.0,0.0,3,0.348564179348383,JITTER,102.7631171992582,101.4648811457066,2.536622028642665,0,0.0,80.0,1,1,1,0,0.999996542930603,1,0,1,0.3225240111351013,0.21107199788093567,0.1882808357477188,0.27812322974205017,1,1,0,1,0.14086137174907112,0.1,0.0,0.10770280759931186
