t,sample_id,label,u,c_comm,proxy_acc,cost,G,Y_bw,Q_net,active_views,active_token_ratio_sum,network_state,bandwidth_mbps,effective_bandwidth_mbps,B_t,is_disconnected,comm_delay_ms,e2e_delay_ms,deadline_met,transmission_success,business_available,real_pred,real_conf,real_correct,traj_pred,traj_correct,w_1,w_2,w_3,w_4,v_1,v_2,v_3,v_4,k_1,k_2,k_3,k_4
0,0,0,1,6.2,0.999988317489624,0.36364987634286994,15.717711201902809,0.0,0.0,3,0.4351115869021086,GOOD,101.91648388447706,101.02190493583237,2.525547623395809,0,0.0,80.0,1,1,1,0,0.999988317489624,1,0,1,0.5601472854614258,0.13485881686210632,0.2577750086784363,0.047218915075063705,1,1,1,0,0.23511158690210862,0.1,0.1,0.0
1,1,0,0,0.0,0.9999943971633911,0.36778618661716794,16.087541446643105,3.2,0.0,3,0.43757916319383405,GOOD,95.7894423247491,95.60901841207347,2.3902254603018367,0,0.0,80.0,1,1,1,0,0.9999943971633911,1,0,1,9.99999993922529e-09,0.5249578952789307,0.09632721543312073,0.3787148892879486,0,1,1,1,0.0,0.21228828717166962,0.1,0.12529087602216446
2,2,0,0,0.0,0.9806204438209534,0.25324907110456074,12.052930774126782,0.20000000000000018,0.0,3,0.36310552486990033,WEAK,15.700514635826353,13.064246784579812,0.3266061696144953,0,0.0,80.0,1,1,1,0,0.9806204438209534,1,0,1,0.19891206920146942,0.3670075237751007,0.22603927552700043,0.20804113149642944,0,1,1,1,0.0,0.16310552486990035,0.1,0.1
3,3,0,1,6.2,0.9999921321868896,0.3073280000000001,11.716384230920776,0.0,0.0,4,0.4,GOOD,76.03087503164537,75.4670330667972,1.8866758266699302,0,0.0,80.0,1,1,1,0,0.9999921321868896,1,0,1,0.2663012742996216,0.2610095739364624,0.21196620166301727,0.2607229948043823,1,1,1,1,0.1,0.1,0.1,0.1
4,4,0,0,0.0,0.9999827146530151,0.2542660410348189,13.608920497520494,3.2,0.919176329847578,3,0.3638338541491722,WEAK,13.589572161451962,11.232946806096876,0.28082367015242193,0,0.0,80.0,1,1,1,0,0.9999827146530151,1,0,1,0.07866712659597397,0.2730303704738617,0.33033257722854614,0.3179699182510376,0,1,1,1,0.0,0.1,0.13633941488008786,0.12749443926908433
5,5,0,0,0.0,0.9999678134918213,0.36632835544526987,15.111374887776211,0.20000000000000018,0.787197724010491,3,0.4367110637830982,WEAK,6.0902969921259835,5.279144233483478,0.13197860583708695,0,0.0,80.0,1,1,1,0,0.9999678134918213,1,0,1,0.09449591487646103,0.16981856524944305,0.1707957684993744,0.5648897886276245,0,1,1,1,0.0,0.1,0.1,0.23671106378309822
6,6,0,1,6.2,0.9999892711639404,0.3361451695164262,15.469909137431411,0.0,0.0,3,0.41833323001535794,GOOD,106.21049375940656,104.86870600498669,2.6217176501246673,0,0.0,80.0,1,1,1,0,0.9999892711639404,1,0,1,0.16700272262096405,9.99999993922529e-09,0.4004429280757904,0.43255430459976196,1,0,1,1,0.1,0.0,0.14917594945621704,0.1691572805591409
7,7,0,0,0.0,0.9999912977218628,0.3427143188875376,14.857473532986031,3.2,0.0,3,0.4224011106712462,GOOD,68.36207745038948,67.03489877989699,1.675872469497425,0,0.0,80.0,1,1,1,0,0.9999912977218628,1,0,1,0.08274177461862564,0.2654181718826294,0.5231590270996094,0.1286810338497162,0,1,1,1,0.0,0.1,0.2224011106712462,0.1
8,8,0,0,0.0,0.999996542930603,0.43094887013032407,17.052879849289468,0.20000000000000018,0.0,3,0.4736655503487833,GOOD,102.27067976590095,101.8725631066854,2.5468140776671353,0,0.0,80.0,1,1,1,0,0.999996542930603,1,0,1,0.1932826191186905,0.6799343824386597,0.0498233363032341,0.07695959508419037,1,1,0,1,0.1,0.27366555034878337,0.0,0.1
9,9,0,1,6.2,0.999996542930603,0.2333714128693383,11.99477145924595,0.0,0.0,3,0.348564179348383,GOOD,43.5043012629783,43.37005613208593,1.0842514033021482,0,0.0,80.0,1,1,1,0,0.999996542930603,1,0,1,0.3225240111351013,0.21107199788093567,0.1882808357477188,0.27812322974205017,1,1,0,1,0.14086137174907112,0.1,0.0,0.10770280759931186
10,10,0,0,0.0,0.999994158744812,0.4814042414050488,18.63280376808472,3.2,0.0,3,0.5006265552653637,GOOD,99.58097247262538,97.65406127197481,2.4413515317993704,0,0.0,80.0,1,1,1,0,0.999994158744812,1,0,1,0.022156888619065285,0.057363223284482956,0.14999207854270935,0.7704877853393555,0,1,1,1,0.0,0.1,0.1,0.30062655526536364
11,11,0,0,0.0,0.9999972581863403,0.23097273186582065,12.641347102417907,0.20000000000000018,0.0,3,0.3467682142763877,GOOD,69.63677648278951,68.98280942126935,1.7245702355317338,0,0.0,80.0,1,1,1,0,0.9999972581863403,1,0,1,0.13841108977794647,0.2686178386211395,0.3052220046520233,0.2877490520477295,0,1,1,1,0.0,0.10164312788998003,0.12912074654017602,0.11600433984623165
12,12,0,1,6.2,0.9999881982803345,0.37376787656984123,16.04337869178503,0.0,0.0,3,0.4411232140902227,GOOD,50.39372042683773,49.91426960567975,1.2478567401419938,0,0.0,80.0,1,1,1,0,0.9999881982803345,1,0,1,0.03730703145265579,0.04615334793925285,0.5780738592147827,0.33846578001976013,0,1,1,1,0.0,0.1,0.24112321409022272,0.1
13,13,0,0,0.0,0.9999575614929199,0.26429673016415994,12.602989172483063,3.2,0.0,3,0.370940985586214,GOOD,93.58511957460082,92.76690128260216,2.3191725320650542,0,0.0,80.0,1,1,1,0,0.9999575614929199,1,0,1,0.16553767025470734,0.1633681356906891,0.29474401473999023,0.37635013461112976,1,0,1,1,0.1,0.0,0.10683690497302192,0.16410408061319207
14,14,0,0,0.0,0.9998179078102112,0.22787538195284543,11.980113485949161,0.20000000000000018,0.0,3,0.3444352816433831,GOOD,96.02120816017992,95.4213317142911,2.3855332928572777,0,0.0,80.0,1,1,1,0,0.9998179078102112,1,0,1,0.22692342102527618,0.29101839661598206,0.18500758707523346,0.2970506250858307,1,1,0,1,0.1,0.11993820162323143,0.0,0.12449708002015167
15,15,0,1,6.2,0.9999935626983643,0.36284025071274806,15.875094257469103,0.0,0.0,3,0.4346269534527415,GOOD,104.38114859974415,103.57223983452941,2.5893059958632354,0,0.0,80.0,1,1,1,0,0.9999935626983643,1,0,1,0.13204190135002136,0.034800510853528976,0.5587142109870911,0.2744434177875519,1,0,1,1,0.1,0.0,0.23462695345274145,0.1
16,16,0,0,0.0,0.9999879598617554,0.31865600580554837,14.894621246298122,3.2,0.0,3,0.4073052242643216,GOOD,94.59964031799804,94.33522962433828,2.358380740608457,0,0.0,80.0,1,1,1,0,0.9999879598617554,1,0,1,0.052351247519254684,0.18208850920200348,0.48084163665771484,0.2847185730934143,0,1,1,1,0.0,0.1,0.2073052242643216,0.1
17,17,0,0,0.0,0.9999595880508423,0.2968877233609641,13.405981586505323,0.20000000000000018,0.0,3,0.39314707255499315,GOOD,40.58898158008044,39.95017239881343,0.9987543099703358,0,0.0,80.0,1,1,1,0,0.9999595880508423,1,0,1,0.1350162774324417,0.3493669033050537,0.39543992280960083,0.12017683684825897,1,1,1,0,0.1,0.131320739246244,0.16182633330874915,0.0
18,18,0,1,6.2,0.9999511241912842,0.45560951179695686,17.966707577202826,0.0,0.0,3,0.4870295558955159,GOOD,96.41323029010681,94.90777813286495,2.372694453321624,0,0.0,80.0,1,1,1,0,0.9999511241912842,1,0,1,0.20432515442371368,0.7241217494010925,0.046658437699079514,0.02489466220140457,1,1,1,0,0.1,0.28702955589551593,0.1,0.0
19,19,0,0,0.0,0.9999809265136719,0.3574260372886847,15.413722566020127,3.2,0.0,3,0.4313720671447403,GOOD,85.4992956762315,85.26024477868017,2.1315061194670046,0,0.0,80.0,1,1,1,0,0.9999809265136719,1,0,1,0.07067348062992096,0.34989500045776367,0.5306729674339294,0.04875859618186951,1,1,1,0,0.1,0.11114148646810626,0.22023058067663406,0.0
20,20,0,0,0.0,0.9999949932098389,0.26220537420279677,13.403398528203104,0.20000000000000018,0.0,3,0.3694704596519076,GOOD,93.47223694323773,92.5915486191643,2.3147887154791076,0,0.0,80.0,1,1,1,0,0.9999949932098389,1,0,1,0.30354899168014526,0.10115420073270798,0.23249927163124084,0.3627975285053253,1,0,1,1,0.11386362850861059,0.0,0.1,0.15560683114329701
21,21,0,1,6.2,0.9999674558639526,0.3445864061716964,14.874077831577527,0.0,0.0,3,0.42355322883560703,GOOD,101.19990859328205,99.91523987395121,2.4978809968487803,0,0.0,80.0,1,1,1,0,0.9999674558639526,1,0,1,0.07987160235643387,0.0682433620095253,0.5005629658699036,0.3513220548629761,1,0,1,1,0.1,0.0,0.20763700574433727,0.11591622309126975
22,22,0,0,0.0,0.9997712969779968,0.49455299075347076,18.86077714622351,3.2,0.0,3,0.5074173849173718,GOOD,84.73657285963309,84.22145906702958,2.1055364766757396,0,0.0,80.0,1,1,1,0,0.9997712969779968,1,0,1,0.042098697274923325,0.1339723765850067,0.029752513393759727,0.7941765189170837,1,1,0,1,0.1,0.1,0.0,0.3074173849173717
23,23,0,0,0.0,0.9999892711639404,0.27168222135503634,13.16297943864701,0.20000000000000018,0.0,3,0.3760880517861359,GOOD,74.93739113858899,74.61578282740052,1.8653945706850132,0,0.0,80.0,1,1,1,0,0.9999892711639404,1,0,1,0.39732593297958374,0.2905164957046509,0.13188780844211578,0.18026982247829437,1,1,0,1,0.1750079399989977,0.10108011178713827,0.0,0.1
24,24,0,1,6.2,0.9999953508377075,0.27035291822751745,12.730186949388912,0.0,0.0,3,0.37516685044719456,GOOD,108.27224586145329,107.765662790847,2.6941415697711752,0,0.0,80.0,1,1,1,0,0.9999953508377075,1,0,1,0.26788437366485596,0.16276255249977112,0.17277134954929352,0.3965817391872406,1,0,1,1,0.1,0.0,0.1,0.17516685044719452
25,25,0,0,0.0,0.9999949932098389,0.3365027945653817,15.901312276638404,3.2,0.0,3,0.41855570334680015,GOOD,62.510711361759725,62.14365626877237,1.5535914067193093,0,0.0,80.0,1,1,1,0,0.9999949932098389,1,0,1,9.99999993922529e-09,0.22612760961055756,0.5122132301330566,0.26165926456451416,0,1,1,1,0.0,0.1,0.21855570334680016,0.1
26,26,0,0,0.0,0.9999881982803345,0.30357152574915097,13.649219919565123,0.20000000000000018,0.0,3,0.39754788121924,GOOD,84.56257218730227,83.2368032094011,2.080920080235028,0,0.0,80.0,1,1,1,0,0.9999881982803345,1,0,1,0.3815212547779083,0.13490307331085205,0.378343790769577,0.10523181408643723,1,1,1,0,0.14981421775768686,0.1,0.14773366346155317,0.0
27,27,0,1,6.2,0.9999872446060181,0.27210814712808423,12.927248445393872,0.0,0.0,3,0.37638273956586965,GOOD,72.51094891520565,71.33044110463655,1.7832610276159138,0,0.0,80.0,1,1,1,0,0.9999872446060181,1,0,1,0.37106674909591675,0.1710825264453888,0.3177407383918762,0.14011000096797943,1,1,1,0,0.15663163903868962,0.1,0.11975110052718002,0.0
28,28,0,0,0.0,0.9999971389770508,0.3407583306959665,14.474943785855437,3.2,0.1564586178917713,3,0.4211939918212726,GOOD,41.81696585070884,41.74165528432915,1.0435413821082287,0,0.0,80.0,1,1,1,0,0.9999971389770508,1,0,1,0.427550345659256,0.4157721996307373,0.07488615810871124,0.08179133385419846,1,1,0,1,0.16423658729778853,0.15695740452348408,0.0,0.1
29,29,0,0,0.0,0.999890923500061,0.24360760268358042,12.590271281057486,0.20000000000000018,0.0,3,0.35612654424548734,GOOD,76.95017842011099,76.7019805766957,1.9175495144173926,0,0.0,80.0,1,1,1,0,0.999890923500061,1,0,1,0.22441884875297546,0.34305012226104736,0.1515563577413559,0.2809746563434601,1,1,0,1,0.1,0.15075008578961133,0.0,0.10537645845587601
30,30,0,1,6.2,0.6721455454826355,0.35361414744273195,15.462894704664482,0.0,0.0,3,0.4290656452181435,GOOD,52.18496821705347,51.45821908420711,1.2864554771051777,0,0.0,80.0,1,1,0,0,0.6721455454826355,1,0,1,0.10838605463504791,0.01955569162964821,0.47392329573631287,0.39813485741615295,1,0,1,1,0.1,0.0,0.18752272235083847,0.14154292286730505
31,31,0,0,0.0,0.9999943971633911,0.4471559250275792,17.79576326687931,3.2,0.0,3,0.48249011629434446,GOOD,70.4816980877186,70.05667640697624,1.751416910174406,0,0.0,80.0,1,1,1,0,0.9999943971633911,1,0,1,0.13321922719478607,0.7089584469795227,0.1349497139453888,0.022872596979141235,1,1,1,0,0.1,0.2824901162943445,0.1,0.0
32,32,0,0,0.0,0.9999616146087646,0.3277355588075706,15.083690780465272,0.20000000000000018,0.0,3,0.41306719792277913,GOOD,68.94500884427123,68.82414835502226,1.7206037088755566,0,0.0,80.0,1,1,1,0,0.9999616146087646,1,0,1,0.41164666414260864,0.16571760177612305,0.02012729085981846,0.40250834822654724,1,1,0,1,0.15941300771620595,0.1,0.0,0.1536541902065732
33,33,0,1,6.2,0.9999769926071167,0.24360846508023956,12.825534429271189,0.0,0.0,3,0.35612717460773125,GOOD,116.95181316396116,114.8266099802808,2.87066524950702,0,0.0,80.0,1,1,1,0,0.9999769926071167,1,0,1,0.13046906888484955,0.3205414414405823,0.30348530411720276,0.24550418555736542,0,1,1,1,0.0,0.13429710836880063,0.12183006623893064,0.1
34,34,0,0,0.0,0.9999909400939941,0.28377677461106404,12.9848362620131,3.2,0.0,3,0.3843681120890923,GOOD,61.269596916761564,60.08197599713472,1.5020493999283682,0,0.0,80.0,1,1,1,0,0.9999909400939941,1,0,1,0.16289092600345612,0.4198946952819824,0.15567122399806976,0.2615431249141693,1,1,0,1,0.1,0.18436811208909223,0.0,0.1
35,35,0,0,0.0,0.9997968077659607,0.49310937686432565,18.997715870171113,0.20000000000000018,0.0,3,0.5066762609756231,GOOD,97.35121513271964,96.4762973673684,2.41190743418421,0,0.0,80.0,1,1,1,0,0.9997968077659607,1,0,1,0.7915740013122559,0.02914809249341488,0.017140643671154976,0.16213728487491608,1,1,0,1,0.30667626097562317,0.1,0.0,0.1
36,36,0,1,6.2,0.9999499320983887,0.23183446045698622,12.403337890904282,0.0,0.0,3,0.34741448512952733,GOOD,47.71127697227995,46.84999071353301,1.1712497678383254,0,0.0,80.0,1,1,1,0,0.9999499320983887,1,0,1,0.15595486760139465,0.29424068331718445,0.24691343307495117,0.30289098620414734,0,1,1,1,0.0,0.12046652447030434,0.1,0.12694796065922298
37,37,0,0,0.0,0.9997499585151672,0.2577535678472126,13.029322844387343,3.2,0.0,3,0.3663205387543711,GOOD,56.18906918361843,55.84524082518668,1.396131020629667,0,0.0,80.0,1,1,1,0,0.9997499585151672,1,0,1,0.12809018790721893,0.3651636838912964,0.21567700803279877,0.2910691499710083,0,1,1,1,0.0,0.15948614122750557,0.1,0.10683439752686552
38,38,0,0,0.0,0.9999514818191528,0.410648607714226,17.06461732963318,0.20000000000000018,0.0,3,0.4623747439572748,GOOD,54.14182263513854,53.21424946241743,1.3303562365604358,0,0.0,80.0,1,1,1,0,0.9999514818191528,1,0,1,0.017071044072508812,0.11366135627031326,0.22559620440006256,0.6436713337898254,0,1,1,1,0.0,0.1,0.1,0.2623747439572748
39,39,0,1,6.2,0.9999957084655762,0.31614112124242266,13.776408792629901,0.0,0.0,3,0.4056947812587929,GOOD,97.55703647607494,96.71396214722698,2.4178490536806745,0,0.0,80.0,1,1,1,0,0.9999957084655762,1,0,1,0.13030526041984558,0.4764305353164673,0.22857573628425598,0.16468849778175354,0,1,1,1,0.0,0.2056947812587929,0.1,0.1
40,40,0,0,0.0,0.9999920129776001,0.28521804496223346,13.021287073744787,3.2,0.0,3,0.38534295710023314,GOOD,86.72783751301884,85.60064170365816,2.140016042591454,0,0.0,80.0,1,1,1,0,0.9999920129776001,1,0,1,0.2569795250892639,0.16629008948802948,0.15432772040367126,0.4224027395248413,1,1,0,1,0.1,0.1,0.0,0.1853429571002331
41,41,0,0,0.0,0.9999936819076538,0.4111345016119428,16.46772269220228,0.20000000000000018,0.0,3,0.462648212128981,GOOD,73.26459217364877,73.20361526411607,1.8300903816029017,0,0.0,80.0,1,1,1,0,0.9999936819076538,1,0,1,9.99999993922529e-09,9.99999993922529e-09,0.509666919708252,0.49033302068710327,0,1,1,1,0.0,0.1,0.18676319824755147,0.17588501388142955
42,42,0,1,6.2,0.9999719858169556,0.27706686248597606,13.857962785731694,0.0,0.0,3,0.379796728830173,GOOD,66.38889698662283,66.19700095688876,1.654925023922219,0,0.0,80.0,1,1,1,0,0.9999719858169556,1,0,1,0.22622519731521606,0.07373833656311035,0.3644370436668396,0.3355993926525116,1,0,1,1,0.1,0.0,0.1497808576011331,0.13001587122903988
43,43,0,0,0.0,0.9998273849487305,0.34788041107993384,14.521057601420608,3.2,0.0,3,0.42557285001084666,GOOD,87.01156577421696,86.71469454816764,2.167867363704191,0,0.0,80.0,1,1,1,0,0.9998273849487305,1,0,1,0.11334492266178131,0.23262333869934082,0.5322727560997009,0.12175892293453217,0,1,1,1,0.0,0.1,0.22557285001084662,0.1
44,44,0,0,0.0,0.9999971389770508,0.3202421218994748,15.203172931154661,0.20000000000000018,0.0,3,0.40831765058518066,WEAK,12.45910051460711,11.187892624849507,0.2796973156212377,0,0.0,80.0,1,1,1,0,0.9999971389770508,1,0,1,0.031822945922613144,0.4836249351501465,0.3112174868583679,0.17333459854125977,0,1,1,1,0.0,0.20831765058518067,0.1,0.1
45,45,0,1,6.2,0.9999961853027344,0.2297639940672426,12.076201684410847,0.0,0.0,3,0.34585966185624206,WEAK,2.4104696785345547,1.9433595068180607,0.04858398767045152,0,0.0,80.0,1,1,1,0,0.9999961853027344,1,0,1,0.326662540435791,0.23145824670791626,0.18323734402656555,0.2586418390274048,1,1,0,1,0.14585966185624202,0.1,0.0,0.1
46,46,0,0,0.0,0.999993085861206,0.3589541709158845,14.64484493678996,3.2,0.822872174106976,3,0.43229322427659955,WEAK,16.08923409050515,15.085113035720957,0.37712782589302396,0,0.0,80.0,1,1,1,0,0.999993085861206,1,0,1,0.5518385767936707,0.17139483988285065,0.11846340447664261,0.15830320119857788,1,1,0,1,0.23229322427659957,0.1,0.0,0.1
47,47,0,0,0.0,0.9999896287918091,0.5652107678910616,21.070512220830242,0.20000000000000018,0.6036919974966484,3,0.5424555288466245,WEAK,10.832725898381376,8.767207064413103,0.2191801766103276,0,0.0,80.0,1,1,1,0,0.9999896287918091,1,0,1,0.019029462710022926,0.922031819820404,0.04953110218048096,0.009407599456608295,1,1,1,0,0.1,0.34245552884662456,0.1,0.0
48,48,0,1,6.2,0.9999959468841553,0.3802031679373786,15.84652679779765,0.0,0.3643102809279459,3,0.4449044934559111,WEAK,10.522809219025168,9.5752686627481,0.2393817165687025,0,0.0,80.0,1,1,1,0,0.9999959468841553,1,0,1,0.4277138113975525,0.05190425366163254,0.5036070346832275,0.01677488349378109,1,1,1,0,0.15025014604200668,0.1,0.1946543474139044,0.0
49,49,0,0,0.0,0.9999909400939941,0.3690122633669908,15.91650030023612,3.2,1.3129403780280304,3,0.43830792798794316,WEAK,11.37210324448768,10.05479611599662,0.2513699028999155,0,0.0,80.0,1,1,1,0,0.9999909400939941,1,0,1,0.0400041788816452,0.1698513776063919,0.5696441531181335,0.22050023078918457,0,1,1,1,0.0,0.1,0.23830792798794312,0.1
50,50,0,0,0.0,0.9999980926513672,0.5001502109376029,19.03725246912741,0.20000000000000018,0.0,3,0.5102807141110379,GOOD,106.10335393554863,104.20164066439524,2.6050410166098814,0,0.0,80.0,1,1,1,0,0.9999980926513672,1,0,1,0.027437681332230568,0.8042709827423096,0.13850711286067963,0.02978425659239292,0,1,1,1,0.0,0.31028071411103797,0.1,0.1
51,51,0,1,6.2,0.9999313354492188,0.3730447670205276,15.425393958527025,0.0,0.0,3,0.4406962982733251,GOOD,84.32289148312395,84.13978307437468,2.103494576859367,0,0.0,80.0,1,1,1,0,0.9999313354492188,1,0,1,0.08089865744113922,0.22472795844078064,0.5767916440963745,0.11758173257112503,0,1,1,1,0.0,0.1,0.2406962982733251,0.1
52,52,0,0,0.0,0.9999961853027344,0.3967663363379196,16.5066168851255,3.2,0.0,3,0.45449209626279263,GOOD,62.498702707120664,61.67444152304155,1.541861038076039,0,0.0,80.0,1,1,1,0,0.9999961853027344,1,0,1,0.6189349889755249,0.04445328935980797,0.30010488629341125,0.036506835371255875,1,1,1,0,0.2544920962627927,0.1,0.1,0.0
53,53,0,0,0.0,0.9999885559082031,0.4194497905954438,16.30681940142879,0.20000000000000018,0.0,3,0.46730337478283357,GOOD,101.49179935341256,101.27310290403051,2.531827572600763,0,0.0,80.0,1,1,1,0,0.9999885559082031,1,0,1,0.1586628407239914,0.659380316734314,0.08535410463809967,0.09660268574953079,1,1,0,1,0.1,0.2673033747828336,0.0,0.1
54,54,0,1,6.2,0.99998939037323,0.3073280000000001,11.716383611198907,0.0,0.0,4,0.4,GOOD,58.417119271590465,58.37340859646248,1.4593352149115622,0,0.0,80.0,1,1,1,0,0.99998939037323,1,0,1,0.2643933892250061,0.25111332535743713,0.20382925868034363,0.28066402673721313,1,1,1,1,0.1,0.1,0.1,0.1
55,55,0,0,0.0,0.9999953508377075,0.3080964605706204,13.95838603220012,3.2,0.0,3,0.4004997792550849,GOOD,69.6737827089951,68.5174909038519,1.7129372725962975,0,0.0,80.0,1,1,1,0,0.9999953508377075,1,0,1,0.13917891681194305,0.42006173729896545,0.09077224880456924,0.3499871790409088,1,1,0,1,0.1,0.17302266431454374,0.0,0.12747711494054115
56,56,0,0,0.0,0.9999377727508545,0.24615064351668603,13.321891424689165,0.20000000000000018,0.0,3,0.3579805362094616,GOOD,65.37111142581722,64.12526957516326,1.6031317393790816,0,0.0,80.0,1,1,1,0,0.9999377727508545,1,0,1,0.3265085816383362,0.2944224178791046,0.28393569588661194,0.09513327479362488,1,1,1,0,0.13742313946857304,0.11409144725088505,0.10646594949000351,0.0
57,57,0,1,6.2,0.999995231628418,0.5002394838543747,19.42001676377492,0.0,0.0,3,0.5103262526453988,GOOD,81.20457033853717,80.78885963451303,2.019721490862826,0,0.0,80.0,1,1,1,0,0.999995231628418,1,0,1,9.99999993922529e-09,0.8044320344924927,0.12235518544912338,0.07321271300315857,0,1,1,1,0.0,0.3103262526453988,0.1,0.1
58,58,0,0,0.0,0.999991774559021,0.34125220060394357,14.286185880293383,3.2,1.0829659907646285,3,0.42149910501061794,WEAK,4.962940716476327,4.681360369414857,0.11703400923537143,0,0.0,80.0,1,1,1,0,0.999991774559021,1,0,1,0.23310355842113495,0.5205813050270081,0.12218105792999268,0.1241341382265091,1,1,0,1,0.1,0.22149910501061795,0.0,0.1
