iter,conf,escalated,total_ms,capture_ms,edge_preprocess_ms,edge_inference_ms,confidence_check_ms,upload_ms,cloud_inference_ms,download_ms,postprocess_ms
0,0.071,True,434.73,0.0,0.77,24.81,3.67,246.04,155.44,1.09,2.92
1,0.071,True,427.88,0.0,0.57,23.4,0.15,246.58,156.44,0.69,0.04
2,0.071,True,429.89,0.0,0.3,22.43,0.15,246.25,159.64,1.05,0.08
3,0.071,True,440.03,0.0,0.32,22.92,0.14,246.33,169.26,1.01,0.05
4,0.071,True,427.09,0.0,0.31,25.95,0.14,246.35,153.31,0.95,0.07
5,0.071,True,429.28,0.0,0.33,24.35,0.17,246.12,157.7,0.56,0.05
6,0.071,True,428.69,0.0,0.3,25.18,0.15,246.28,155.9,0.82,0.06
7,0.071,True,429.19,0.0,0.66,23.73,0.18,245.92,158.07,0.56,0.07
8,0.071,True,430.01,0.0,0.32,25.22,0.13,246.21,156.99,1.06,0.08
9,0.071,True,430.79,0.0,0.78,24.22,0.14,245.93,159.0,0.65,0.06
10,0.071,True,440.31,0.0,0.45,27.77,0.14,246.19,165.15,0.56,0.06
11,0.071,True,444.12,0.0,0.33,25.84,0.18,246.25,170.31,1.13,0.08
12,0.071,True,440.49,0.0,0.35,30.67,0.17,246.14,162.39,0.7,0.07
13,0.071,True,428.36,0.0,0.42,24.13,0.16,245.99,157.04,0.56,0.07
14,0.071,True,440.88,0.0,0.36,24.56,0.14,246.44,168.54,0.78,0.06
