category,vehicle_id,view_index,condition,severity,source_png,web_jpg,width,height,jpeg_quality,bytes
clean_control,21008,1,clean,0.0,clean_control/vehicle_21008/view_01_021008_000.png,web/clean/clean_control/vehicle_21008/view_01.jpg,126,114,95,8230
clean_control,21008,1,illumination,1.0,clean_control/vehicle_21008/view_01_021008_000.png,web/illumination/clean_control/vehicle_21008/view_01.jpg,126,114,95,6538
clean_control,21008,1,motion_blur,0.8,clean_control/vehicle_21008/view_01_021008_000.png,web/motion_blur/clean_control/vehicle_21008/view_01.jpg,126,114,95,6263
clean_control,21008,1,sensor_noise,0.6,clean_control/vehicle_21008/view_01_021008_000.png,web/sensor_noise/clean_control/vehicle_21008/view_01.jpg,126,114,95,14917
clean_control,21008,2,clean,0.0,clean_control/vehicle_21008/view_02_021008_001.png,web/clean/clean_control/vehicle_21008/view_02.jpg,128,122,95,8624
clean_control,21008,2,illumination,1.0,clean_control/vehicle_21008/view_02_021008_001.png,web/illumination/clean_control/vehicle_21008/view_02.jpg,128,122,95,6779
clean_control,21008,2,motion_blur,0.8,clean_control/vehicle_21008/view_02_021008_001.png,web/motion_blur/clean_control/vehicle_21008/view_02.jpg,128,122,95,6570
clean_control,21008,2,sensor_noise,0.6,clean_control/vehicle_21008/view_02_021008_001.png,web/sensor_noise/clean_control/vehicle_21008/view_02.jpg,128,122,95,15868
clean_control,21008,3,clean,0.0,clean_control/vehicle_21008/view_03_021008_002.png,web/clean/clean_control/vehicle_21008/view_03.jpg,133,120,95,8709
clean_control,21008,3,illumination,1.0,clean_control/vehicle_21008/view_03_021008_002.png,web/illumination/clean_control/vehicle_21008/view_03.jpg,133,120,95,6808
clean_control,21008,3,motion_blur,0.8,clean_control/vehicle_21008/view_03_021008_002.png,web/motion_blur/clean_control/vehicle_21008/view_03.jpg,133,120,95,6558
clean_control,21008,3,sensor_noise,0.6,clean_control/vehicle_21008/view_03_021008_002.png,web/sensor_noise/clean_control/vehicle_21008/view_03.jpg,133,120,95,16283
clean_control,21008,4,clean,0.0,clean_control/vehicle_21008/view_04_021008_003.png,web/clean/clean_control/vehicle_21008/view_04.jpg,136,120,95,8554
clean_control,21008,4,illumination,1.0,clean_control/vehicle_21008/view_04_021008_003.png,web/illumination/clean_control/vehicle_21008/view_04.jpg,136,120,95,6736
clean_control,21008,4,motion_blur,0.8,clean_control/vehicle_21008/view_04_021008_003.png,web/motion_blur/clean_control/vehicle_21008/view_04.jpg,136,120,95,6390
clean_control,21008,4,sensor_noise,0.6,clean_control/vehicle_21008/view_04_021008_003.png,web/sensor_noise/clean_control/vehicle_21008/view_04.jpg,136,120,95,16335
clean_control,21472,1,clean,0.0,clean_control/vehicle_21472/view_01_021472_000.png,web/clean/clean_control/vehicle_21472/view_01.jpg,197,178,95,17253
clean_control,21472,1,illumination,1.0,clean_control/vehicle_21472/view_01_021472_000.png,web/illumination/clean_control/vehicle_21472/view_01.jpg,197,178,95,19467
clean_control,21472,1,motion_blur,0.8,clean_control/vehicle_21472/view_01_021472_000.png,web/motion_blur/clean_control/vehicle_21472/view_01.jpg,197,178,95,12284
clean_control,21472,1,sensor_noise,0.6,clean_control/vehicle_21472/view_01_021472_000.png,web/sensor_noise/clean_control/vehicle_21472/view_01.jpg,197,178,95,34894
clean_control,21472,2,clean,0.0,clean_control/vehicle_21472/view_02_021472_001.png,web/clean/clean_control/vehicle_21472/view_02.jpg,211,190,95,19359
clean_control,21472,2,illumination,1.0,clean_control/vehicle_21472/view_02_021472_001.png,web/illumination/clean_control/vehicle_21472/view_02.jpg,211,190,95,21249
clean_control,21472,2,motion_blur,0.8,clean_control/vehicle_21472/view_02_021472_001.png,web/motion_blur/clean_control/vehicle_21472/view_02.jpg,211,190,95,13606
clean_control,21472,2,sensor_noise,0.6,clean_control/vehicle_21472/view_02_021472_001.png,web/sensor_noise/clean_control/vehicle_21472/view_02.jpg,211,190,95,39219
clean_control,21472,3,clean,0.0,clean_control/vehicle_21472/view_03_021472_002.png,web/clean/clean_control/vehicle_21472/view_03.jpg,228,204,95,21972
clean_control,21472,3,illumination,1.0,clean_control/vehicle_21472/view_03_021472_002.png,web/illumination/clean_control/vehicle_21472/view_03.jpg,228,204,95,23777
clean_control,21472,3,motion_blur,0.8,clean_control/vehicle_21472/view_03_021472_002.png,web/motion_blur/clean_control/vehicle_21472/view_03.jpg,228,204,95,15320
clean_control,21472,3,sensor_noise,0.6,clean_control/vehicle_21472/view_03_021472_002.png,web/sensor_noise/clean_control/vehicle_21472/view_03.jpg,228,204,95,45387
clean_control,21472,4,clean,0.0,clean_control/vehicle_21472/view_04_021472_003.png,web/clean/clean_control/vehicle_21472/view_04.jpg,249,224,95,25560
