category,vehicle_id,make,make_label,annotation,camera,split,adapter_recovered_drifts,source_paths,copied_paths
recovered,25244,skoda,1,skoda fabia combi mk1,036,official_test,"illumination,sensor_noise",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/036/44/025244_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/036/44/025244_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/036/44/025244_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/036/44/025244_003.png,recovered/vehicle_25244/view_01_025244_000.png;recovered/vehicle_25244/view_02_025244_001.png;recovered/vehicle_25244/view_03_025244_002.png;recovered/vehicle_25244/view_04_025244_003.png
recovered,26165,skoda,1,skoda fabia combi mk1,090,official_test,"motion_blur,sensor_noise",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/090/15/026165_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/090/15/026165_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/090/15/026165_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/090/15/026165_003.png,recovered/vehicle_26165/view_01_026165_000.png;recovered/vehicle_26165/view_02_026165_001.png;recovered/vehicle_26165/view_03_026165_002.png;recovered/vehicle_26165/view_04_026165_003.png
recovered,26772,skoda,1,skoda octavia sedan mk2,142,official_test,"illumination,motion_blur",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/142/22/026772_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/142/22/026772_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/142/22/026772_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/142/22/026772_003.png,recovered/vehicle_26772/view_01_026772_000.png;recovered/vehicle_26772/view_02_026772_001.png;recovered/vehicle_26772/view_03_026772_002.png;recovered/vehicle_26772/view_04_026772_003.png
recovered,21142,bmw,10,bmw x5 suv mk2,006,official_test,motion_blur,/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/42/021142_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/42/021142_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/42/021142_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/42/021142_003.png,recovered/vehicle_21142/view_01_021142_000.png;recovered/vehicle_21142/view_02_021142_001.png;recovered/vehicle_21142/view_03_021142_002.png;recovered/vehicle_21142/view_04_021142_003.png
recovered,21763,hyundai,7,hyundai i20 hatchback mk1,008,official_test,illumination,/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/13/021763_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/13/021763_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/13/021763_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/13/021763_003.png,recovered/vehicle_21763/view_01_021763_000.png;recovered/vehicle_21763/view_02_021763_001.png;recovered/vehicle_21763/view_03_021763_002.png;recovered/vehicle_21763/view_04_021763_003.png
difficult_unrecovered,20737,fiat,3,fiat panda hatchback mk2,004,official_test,"illumination,motion_blur,sensor_noise",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/37/020737_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/37/020737_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/37/020737_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/37/020737_003.png,difficult_unrecovered/vehicle_20737/view_01_020737_000.png;difficult_unrecovered/vehicle_20737/view_02_020737_001.png;difficult_unrecovered/vehicle_20737/view_03_020737_002.png;difficult_unrecovered/vehicle_20737/view_04_020737_003.png
difficult_unrecovered,20759,seat,11,seat altea mpv mk1,004,official_test,"illumination,motion_blur,sensor_noise",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/9/020759_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/9/020759_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/9/020759_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/004/9/020759_003.png,difficult_unrecovered/vehicle_20759/view_01_020759_000.png;difficult_unrecovered/vehicle_20759/view_02_020759_001.png;difficult_unrecovered/vehicle_20759/view_03_020759_002.png;difficult_unrecovered/vehicle_20759/view_04_020759_003.png
difficult_unrecovered,21121,audi,13,audi a6 sedan mk3,006,official_test,"illumination,motion_blur,sensor_noise",/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/21/021121_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/21/021121_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/21/021121_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/21/021121_003.png,difficult_unrecovered/vehicle_21121/view_01_021121_000.png;difficult_unrecovered/vehicle_21121/view_02_021121_001.png;difficult_unrecovered/vehicle_21121/view_03_021121_002.png;difficult_unrecovered/vehicle_21121/view_04_021121_003.png
clean_control,21008,skoda,1,skoda yeti suv mk1,006,official_test,none,/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/8/021008_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/8/021008_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/8/021008_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/006/8/021008_003.png,clean_control/vehicle_21008/view_01_021008_000.png;clean_control/vehicle_21008/view_02_021008_001.png;clean_control/vehicle_21008/view_03_021008_002.png;clean_control/vehicle_21008/view_04_021008_003.png
clean_control,21472,ford,0,ford focus combi mk2,008,official_test,none,/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/22/021472_000.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/22/021472_001.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/22/021472_002.png;/root/autodl-tmp/EdgeCloudRuntime/shared/data/BoxCars116k_kaggle/BoxCars116k/images/008/22/021472_003.png,clean_control/vehicle_21472/view_01_021472_000.png;clean_control/vehicle_21472/view_02_021472_001.png;clean_control/vehicle_21472/view_03_021472_002.png;clean_control/vehicle_21472/view_04_021472_003.png
